Feature,Coefficient,Abs_Coefficient
angle_0-12,1.0443289875314046,1.0443289875314046
angle_24-36,0.7994222902133545,0.7994222902133545
curvature_q3,-0.796079336111039,0.796079336111039
angle_72-84,0.7672498869833456,0.7672498869833456
tortuosity_std,-0.7658889051187945,0.7658889051187945
angle_48-60,0.7619334131645846,0.7619334131645846
curvature_max,-0.7066272410889556,0.7066272410889556
angle_36-48,0.6957535846071939,0.6957535846071939
angle_108-120,-0.6501817405786051,0.6501817405786051
curvature_q1,-0.6395417597404668,0.6395417597404668
acute_angle_ratio,-0.6160183643768813,0.6160183643768813
angle_132-144,-0.5936550465159462,0.5936550465159462
vessel_density,-0.5507761967077689,0.5507761967077689
vessel_length_std,-0.5205711872544013,0.5205711872544013
tortuosity_mean,-0.4985116834143912,0.4985116834143912
vessel_branch_angle_min,-0.47108673866137785,0.47108673866137785
angle_60-72,0.45318951624057485,0.45318951624057485
vessel_segment_length_std,-0.408302151375191,0.408302151375191
tortuosity_q3,-0.38058702272582456,0.38058702272582456
curvature_skewness,-0.33487820981339705,0.33487820981339705
